start,end,resource,detail
1420,1439,"MEM.W.Read","down weights columns 288..575 reduction=7"
1431,1432,"MXM.E0.ActivationLoad","down SwiGLU block=7"
1431,1432,"MXM.W0.ActivationLoad","down SwiGLU block=7"
1435,1444,"MXM.E0.Compute","down columns 0..287 reduction=7 dst=sram"
1435,1444,"MXM.W0.Compute","down columns 288..575 reduction=7 dst=sram"
1444,1463,"MEM.E.Read","down weights columns 0..287 reduction=8"
1444,1463,"MEM.W.Read","down weights columns 288..575 reduction=8"
1455,1456,"MXM.E0.ActivationLoad","down SwiGLU block=8"
1455,1456,"MXM.W0.ActivationLoad","down SwiGLU block=8"
1459,1468,"MXM.E0.Compute","down columns 0..287 reduction=8 dst=sram"
1459,1468,"MXM.W0.Compute","down columns 288..575 reduction=8 dst=sram"
1468,1487,"MEM.E.Read","down weights columns 0..287 reduction=9"
1468,1487,"MEM.W.Read","down weights columns 288..575 reduction=9"
1479,1480,"MXM.E0.ActivationLoad","down SwiGLU block=9"
1479,1480,"MXM.W0.ActivationLoad","down SwiGLU block=9"
1483,1492,"MXM.E0.Compute","down columns 0..287 reduction=9 dst=sram"
1483,1492,"MXM.W0.Compute","down columns 288..575 reduction=9 dst=sram"
1492,1511,"MEM.E.Read","down weights columns 0..287 reduction=10"
1492,1511,"MEM.W.Read","down weights columns 288..575 reduction=10"
1503,1504,"MXM.E0.ActivationLoad","down SwiGLU block=10"
1503,1504,"MXM.W0.ActivationLoad","down SwiGLU block=10"
1507,1516,"MXM.E0.Compute","down columns 0..287 reduction=10 dst=sram"
1507,1516,"MXM.W0.Compute","down columns 288..575 reduction=10 dst=sram"
1516,1535,"MEM.E.Read","down weights columns 0..287 reduction=11"
1516,1535,"MEM.W.Read","down weights columns 288..575 reduction=11"
1527,1528,"MXM.E0.ActivationLoad","down SwiGLU block=11"
1527,1528,"MXM.W0.ActivationLoad","down SwiGLU block=11"
1531,1540,"MXM.E0.Compute","down columns 0..287 reduction=11 dst=sram"
1531,1540,"MXM.W0.Compute","down columns 288..575 reduction=11 dst=sram"
1540,1559,"MEM.E.Read","down weights columns 0..287 reduction=12"
1540,1559,"MEM.W.Read","down weights columns 288..575 reduction=12"
1551,1552,"MXM.E0.ActivationLoad","down SwiGLU block=12"
1551,1552,"MXM.W0.ActivationLoad","down SwiGLU block=12"
1555,1564,"MXM.E0.Compute","down columns 0..287 reduction=12 dst=sram"
1555,1564,"MXM.W0.Compute","down columns 288..575 reduction=12 dst=sram"
1564,1583,"MEM.E.Read","down weights columns 0..287 reduction=13"
1564,1583,"MEM.W.Read","down weights columns 288..575 reduction=13"
1575,1576,"MXM.E0.ActivationLoad","down SwiGLU block=13"
1575,1576,"MXM.W0.ActivationLoad","down SwiGLU block=13"
1579,1588,"MXM.E0.Compute","down columns 0..287 reduction=13 dst=sram"
1579,1588,"MXM.W0.Compute","down columns 288..575 reduction=13 dst=sram"
1588,1607,"MEM.E.Read","down weights columns 0..287 reduction=14"
1588,1607,"MEM.W.Read","down weights columns 288..575 reduction=14"
1599,1600,"MXM.E0.ActivationLoad","down SwiGLU block=14"
1599,1600,"MXM.W0.ActivationLoad","down SwiGLU block=14"
1603,1612,"MXM.E0.Compute","down columns 0..287 reduction=14 dst=sram"
1603,1612,"MXM.W0.Compute","down columns 288..575 reduction=14 dst=sram"
1612,1631,"MEM.E.Read","down weights columns 0..287 reduction=15"
1612,1631,"MEM.W.Read","down weights columns 288..575 reduction=15"
1623,1624,"MXM.E0.ActivationLoad","down SwiGLU block=15"
1623,1624,"MXM.W0.ActivationLoad","down SwiGLU block=15"
1627,1636,"MXM.E0.Compute","down columns 0..287 reduction=15 dst=sram"
1627,1636,"MXM.W0.Compute","down columns 288..575 reduction=15 dst=sram"
1636,1655,"MEM.E.Read","down weights columns 0..287 reduction=16"
1636,1655,"MEM.W.Read","down weights columns 288..575 reduction=16"
1647,1648,"MXM.E0.ActivationLoad","down SwiGLU block=16"
1647,1648,"MXM.W0.ActivationLoad","down SwiGLU block=16"
1651,1660,"MXM.E0.Compute","down columns 0..287 reduction=16 dst=sram"
1651,1660,"MXM.W0.Compute","down columns 288..575 reduction=16 dst=sram"
1660,1679,"MEM.E.Read","down weights columns 0..287 reduction=17"
1660,1679,"MEM.W.Read","down weights columns 288..575 reduction=17"
1671,1672,"MXM.E0.ActivationLoad","down SwiGLU block=17"
1671,1672,"MXM.W0.ActivationLoad","down SwiGLU block=17"
1675,1684,"MXM.E0.Compute","down columns 0..287 reduction=17 dst=sram"
1675,1684,"MXM.W0.Compute","down columns 288..575 reduction=17 dst=sram"
1684,1703,"MEM.E.Read","down weights columns 0..287 reduction=18"
1684,1703,"MEM.W.Read","down weights columns 288..575 reduction=18"
1695,1696,"MXM.E0.ActivationLoad","down SwiGLU block=18"
1695,1696,"MXM.W0.ActivationLoad","down SwiGLU block=18"
1699,1708,"MXM.E0.Compute","down columns 0..287 reduction=18 dst=sram"
1699,1708,"MXM.W0.Compute","down columns 288..575 reduction=18 dst=sram"
1708,1727,"MEM.E.Read","down weights columns 0..287 reduction=19"
